order,brand,biller
10,茶百道,"['茶百道', '百', '1214-茶百道深圳西丽大学城店', '1158-茶百道深圳华强北现代新店', '6728-茶百道深圳龙岗天玑城商业广场店', '6743-茶百道深圳宝安桃源居店', '0906-茶百道深圳观澜天虹店', '1130-茶百道深圳坂田地铁店', '1203-茶百道深圳双龙老街店', '1218-茶百道深圳西乡流塘店', '1150-茶百道深大桂庙新村店', '1192-茶百道深圳桥头地铁店', '1164-茶百道深圳兰园大厦店', '1219-茶百道深圳下沙店', '8179-茶百道深圳兴东店', '1191-茶百道深圳坪山老街店', '1142-茶百道深圳福永地铁店(新)', '1201-茶百道深圳石岩盛妆百货店', '待茶百道确认收款', '1151-茶百道深圳海岸城店', '1179-茶百道深圳梅华路店', '1161-茶百道深圳吉华路和西店', '1152-茶百道深圳横岗华润万家店', '1209-茶百道深圳天安数码城店', '1154-茶百道深圳洪浪北店', '5525-茶百道深圳红山6979店', '茶百道 东门中路店', '1198-茶百道深圳蛇口东角头店']"
11,COCO都可,"['CoCo都可', 'coco', '可', 'CoCo', 'COCO', 'CoCo都可(仁恒梦中心店)', '都', 'CoCo都可(深业东岭店)', 'CoCo都可(宝能太古城)', 'CoCo都可(366大街店)', 'CoCo都可(花园城店)', 'CoCo都可(学府)', 'CoCo都可(八达商城店)', '深圳市CoCo可可韩欧服装', '优雅益(APM Monaco深圳CoCo', 'COCOC可可西']"
12,一只酸奶牛,"['一只酸奶牛', '一', '一只酸奶牛（龙岗万科广场店）', '一只酸奶牛（深圳坪山天虹店）', '一只酸奶牛（东门太阳广场店）', '一只酸奶牛（南山益田假日广场店）', '奶牛', '一只酸奶牛（科兴科学园店）', '一只酸奶牛（宝安大仟里店）', '一只酸奶牛·饮品（龙岗万达店）', '.一', '一只酸奶牛（深圳坪山龙坪天虹店）']"
13,茶颜悦色,"['颜', '悦', '茶言悦色']"
14,本宫的茶,"['本宫的茶', '本']"
15,85°C,"['85CDAILYCAFE', '8', '5', '85度C(深圳新闻路店)', '85度C(深圳湾畔mall店)', '85度C(深圳深南东路店)', '85度C(深圳坪山益田二店)', '85度C(深圳盐田壹海城店)', '85度C(深圳民治优城店)', '85c55b1293fe)', '85c7bf40871f)', 'id:27B0-85CC-D54C', '85度C(深圳龙城万科里店)', '85度C(深圳富士康店)', '85度C(深圳中粮天光城店)', '85度C(深圳常兴店)', '85度C(深圳红山6979店)', '赵先森13699767785', '南顺通驾校李姐13528885', '韦记猪肉汤19085', '重庆烧烤13554878385', 'A舒耳堂13809249785', '丝芙兰深圳壹方城店6285', '停车缴费-车牌号:湘UH0885', '停车缴费-车牌号:粤BD36085', '王春发1985', '星币-14号-paopao666585', '把把智能支付-1701769226185', '京东-订单编号284781519185', '京东-订单编号284708420085', '京东-PLUS会员订单287937444385', '抖音电商-6923387613765244685', 'SO23122913585', '京东-订单编号284510203985', '京东-订单编号284276760185', 'SO23120817085', '￥68.85', '订单号TMH1702950041585', '唯品会订单-订单编号23122445668085', 'SO23122510785', '贸泽电子 - #30971085', '￥253.85', 'SZDX712085', '单位通知书号：440309108954985', '京东-订单编号286403649185', '京东-订单编号286703544685', 'SZDX538285', 'SZDX577785', 'SZDX759885', '￥22.85', '单位通知书号：440307240116985', '2023122210532231785', '商户李玲15530956185', '唯品会订单-订单编号23122463923185', '481441285', '叮咚买菜-2312174934242803485', 'SZDX7557185', 'SZDX081385', 'SZDX731185', '739785', '唯品会订单-订单编号23122679592985', '京东-订单编号284312986585', '叮咚买菜-2312072672860929985', '京东-订单编号286160445485', 'SO2312169585', 'ef9fdad89985)', 'SO2311088185', '京东-订单编号288045826185', 'SO23120819585', '提现免费额度 ¥2125.85', 'AKAK4UPGP18102308485', '京东-订单编号286209974785', '单位通知书号：441323191280685', 'SO2312087585', 'SO23121313885', '京东-订单编号284454777585', '京东-订单编号286628814785', '380385', '202312291351409633140185', '京东-订单编号286547130085', '京东-订单编号287684513385', '停车缴费-车牌号:桂J6A785', 'SO2312043185', 'SO2310161585', '京东-订单编号282734829885', '抖音电商-6925176362635171085', '京东-订单编号284230216285', '到付运费-81238264085', '京东-订单编号286141826185', '19166217962电信费用[50703585]', '单位通知书号：441942161170785', '客服电话: 020-22511485', '京东-订单编号284499731985', '叮咚买菜-2312130413710822085', '京东-订单编号284326601885', '订单：714053602385', '订单信息:2023120167825685', '20231221155711942985', '贸泽电子 - #30976885', '途虎养车订单付款633762385', '订单号1270633685', '￥18.85', 'SO23121217585', 'SZDX7557285', '停车缴费-车牌号:粤SKB985', '提现免费额度 ¥425.85', '020-22511485', '三丰云账户充值（用户ID:449485）', '923685', '张帆DSZ5185', '京东-订单编号286793436385', '17016816914785', '京东-订单编号287708265285']"
16,德克士,"['德克士', 'S', 'D', 'COS', 'i', '德克士(深圳北站A区店)', '(⊙o⊙)…', '德克士 - 南山书城', 'Acne Studios', '维学苑Victoria Sutdios', 'OSA', 'DIMOSS 迪墨诗华南城店', '袋鼠BANDICOOT', '天虹Discovery', 'IDcoosic餐吧', '三星 PRO Plus microSD 卡 256GB,D...', 'ICONSIAM (SOOK SIAM)-WC']"
17,汉堡王,"['汉堡王', 'king', '汉堡王（中国）投资有限公司', '王', 'ing', '汉堡王(深圳TCL大厦店)', '汉堡王(机场T3)', 'King', 'RG', '汉堡王(上塘中海锦城)', '汉堡王(南山生态科技园)', '汉堡王(机场GTC分店)', '汉堡王(坂田长龙mall)', '汉堡王(香林路分店/东海店)', '汉堡王(深圳爱龙路店)', '汉堡王(华强北分店)', '汉堡王(缤果空间)', '汉堡王(龙岗宝能分店)', '汉', '汉堡王(深圳欢乐海岸店)', '汉堡王(宝安大道)', '汉堡王(深圳乐荟中心店)', '汉堡王(深圳金鹏酒店餐厅)', '深圳市汉堡王', '汉堡', '汉堡王(深圳星河荣御店)', 'King W', 'Baia Burger Concept', 'KING POWER CORPORATION - RNM', '炊大皇（COOKER KING）精铸铁锅炒锅无涂层不粘锅炒米饭炒', '炊大皇（COOKER KING）三层蒸锅复底加厚不锈钢蒸汽锅 分格带蒸片炖汤锅多功能汤蒸锅（28...', 'KING POWER DF-SVB', '塔斯汀中国汉堡', '深圳新起点奶茶炸鸡汉堡', '奥克派炸鸡汉堡', '哈帝斯汉堡', '个体鸡蛋汉堡', '堡马先生中国汉堡', '陆丰鲜虾鸡蛋汉堡', 'Burger车轮汉堡', '麦乐士炸鸡汉堡', '杰西五炸鸡汉堡', '牛约堡-手作牛肉汉堡', '美德肯炸鸡汉堡', '韩式炸鸡汉堡', '品亿口汉堡', '思塔克汉堡', '波客派炸鸡汉堡', '巨堡皇国潮汉堡', '美斯顿炸鸡汉堡', '多滋仕炸鸡汉堡', '吉隆堡炸鸡汉堡', '多滋仕汉堡', 'TASTI塔思蒂汉堡', 'OPTIMIST咖啡汉堡', '阿Ben美式汉堡', '尊堡炸鸡汉堡', '爽洋洋炸鸡汉堡', '铁板牛肉汉堡', 'Z-ing', '吃个鸡肉汉堡', '椰好味海南清补凉炸鸡汉堡', '深圳市鸡蛋汉堡', '奥丁顿汉堡', '来吃一口大汉堡', '塔思蒂汉堡', '麦尔特奶茶炸鸡汉堡', '零零柒國潮汉堡', '椿喜街头汉堡']"
18,吉野家,"['广东吉野家', '深圳吉野家快餐有限公司', '吉野家(南山保利店)', '吉', '吉家']"
19,真功夫,"['真功夫', '真功夫-JCN755008北大医院店', '真功夫-JCN755006坪山平乐店', '真功夫(JCN755010 深圳龙华锦绣店)', '真功夫-深圳国际会展中心点', '真功夫-JCN755011深圳平湖融湖中心城店', '真功夫-松岗御景城店', '真功夫-深圳会展中心店', '真功夫（光明田园店）', '真功夫（JCN755012联合金融大厦店）', '真功夫（JCN755014深圳观澜佳纷店）', '真', '真功夫米粉世家', '真功夫-JCN755007龙岗宝泰店', '真功夫（JCN755013深圳大梅沙店）', '真功夫(深圳北站三店)', '真功夫(深圳会展中心店)', '真功夫(上河坊店)', '真功夫(西丽店)', '真功夫(民田二店)', '真功夫(香轩路店)', '真功夫（JCN755015深圳龙岗儿童公园店）', '@真', '深圳真功夫健康管理有限公司', '真功夫(福华店)', '真功夫(布吉金鹏店)', '真功夫(平湖龙洲店)', '真功夫包子铺', '真功夫(大浪店)', '真功夫(福永为盛店)', '真功夫（观澜佳纷店）', '真功夫(福民店)', '真功夫(深圳国际会展中心店)', '真功夫(平湖双拥店)', '真功夫(深圳北大医院店)', '真功夫(仁山智水店)', '真功夫(香缤店)']"
20,乐乐茶,"['L', '乐', 'l', '乐乐', '乐茶', 'Chai', 'hai', 'hua', '普通食堂(深圳普乐乐)', 'Andy乐乐', 'HSA', 'HUA', 'Hua']"
21,萨莉亚意式餐厅,"['餐厅', '莉', 'Ai', '意', 'Yan', 'yan', 'Rvkiya', '🌟🌹yan👍✨']"
